<strong>[2023-03-10 14:19:18,918-root-INFO]</strong> Initialize parameter<br>
<strong>[2023-03-10 14:19:59,157-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/kokuho/kokuho_sonota/index.html<br>
<strong>[2023-03-10 14:19:59,162-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/gomi_shigen/gomishukadaihokoku.html<br>
<strong>[2023-03-10 14:19:59,179-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/gomi_shigen/midori_recycle.html<br>
<strong>[2023-03-10 14:19:59,206-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/corona_kyufu/20210625ziritusienki.html<br>
<strong>[2023-03-10 14:19:59,289-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/event/shiseki_bunkazai/shirakaba/index.html<br>
<strong>[2023-03-10 14:19:59,297-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/event/shiseki_bunkazai/sugimurasojinkan/index.html<br>
<strong>[2023-03-10 14:19:59,334-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/jumin/jyuki_net/index.html<br>
<strong>[2023-03-10 14:19:59,411-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/jumin/koseki/index.html<br>
<strong>[2023-03-10 14:19:59,417-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/jumin/kari_number.html<br>
<strong>[2023-03-10 14:19:59,428-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/jumin/jyumintouroku/index.html<br>
<strong>[2023-03-10 14:19:59,433-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/jumin/jyukidaicho.html<br>
<strong>[2023-03-10 14:19:59,445-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/jumin/shomeisho/index.html<br>
<strong>[2023-03-10 14:19:59,456-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/jumin/kyuuseiheiki.html<br>
<strong>[2023-03-10 14:19:59,556-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/jumin/inkan.html<br>
<strong>[2023-03-10 14:19:59,567-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/kokuho/kokuho_sonota/kokuho_QandA.html<br>
<strong>[2023-03-10 14:19:59,584-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/gomi_shigen/hojokin_sonota/namagomi.html<br>
<strong>[2023-03-10 14:19:59,671-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/gomi_shigen/hojokin_sonota/fureai_shushu.html<br>
<strong>[2023-03-10 14:19:59,679-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/kokuho/kokuho_sonota/kokuho_ininjo.html<br>
<strong>[2023-03-10 14:19:59,689-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/kokuho/kokuho_sonota/mainannba.html<br>
<strong>[2023-03-10 14:19:59,696-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/kokuho/kokuho_sonota/kokuho_honninkakunin.html<br>
<strong>[2023-03-10 14:19:59,796-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/gomi_shigen/shorishisetsu/26sokuteikekka.html<br>
<strong>[2023-03-10 14:19:59,806-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/gomi_shigen/shorishisetsu/25sokuteikekka.html<br>
<strong>[2023-03-10 14:19:59,819-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/kokuho/kokuho_sonota/shinsei.html<br>
<strong>[2023-03-10 14:19:59,855-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/gomi_shigen/shorishisetsu/24sokuteikekka.html<br>
<strong>[2023-03-10 14:19:59,946-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/gomi_shigen/shorishisetsu/sisetuijikannri.html<br>
<strong>[2023-03-10 14:19:59,960-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/gomi_shigen/shorishisetsu/ijikanrisokuteikekka.html<br>
<strong>[2023-03-10 14:19:59,984-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/jumin/shomeisho/ininjo.html<br>
<strong>[2023-03-10 14:20:00,000-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/gomi_shigen/shorishisetsu/ijikanrisokutei.html<br>
<strong>[2023-03-10 14:20:00,012-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/gomi_shigen/shorishisetsu/23sokuteikekka.html<br>
<strong>[2023-03-10 14:20:00,020-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/jumin/shomeisho/kashiwa_nagareyama.html<br>
<strong>[2023-03-10 14:20:00,082-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/faq/zei_hoken/kokuminkenkohoken/hokenzei/index.html<br>
<strong>[2023-03-10 14:20:00,094-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/faq/zei_hoken/kokuminkenkohoken/kyufu/index.html<br>
<strong>[2023-03-10 14:20:00,099-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/jumin/shomeisho/honsekihenkou_shomei.html<br>
<strong>[2023-03-10 14:20:00,113-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/faq/zei_hoken/kokuminkenkohoken/kanyu_dattai/index.html<br>
<strong>[2023-03-10 14:20:00,122-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/jumin/shomeisho/abikoshimin_card.html<br>
<strong>[2023-03-10 14:20:00,174-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/gomi_shigen/shorishisetsu/ijikanrisokuteikeka2.html<br>
<strong>[2023-03-10 14:20:00,226-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kenko/koukikoureisha/seido/koukiinin.html<br>
<strong>[2023-03-10 14:20:00,231-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/jumin/jyumintouroku/shinai_hinan.html<br>
<strong>[2023-03-10 14:20:00,243-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/jumin/shomeisho/daisanshaseikyu.html<br>
<strong>[2023-03-10 14:20:00,346-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/jumin/shomeisho/kosekitohon.html<br>
<strong>[2023-03-10 14:20:00,354-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/jumin/shomeisho/kakushu_hakko.html<br>
<strong>[2023-03-10 14:20:00,372-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/jumin/jyumintouroku/honninkakunin.html<br>
<strong>[2023-03-10 14:20:00,385-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/jumin/jyumintouroku/tenkyotodoke.html<br>
<strong>[2023-03-10 14:20:00,394-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/jumin/jyumintouroku/jyuki_card.html<br>
<strong>[2023-03-10 14:20:00,417-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/jumin/jyumintouroku/tenshutsu.html<br>
<strong>[2023-03-10 14:20:00,473-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/jumin/koseki/shimeihennkou.html<br>
<strong>[2023-03-10 14:20:00,484-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/jumin/jyumintouroku/tennyu.html<br>
<strong>[2023-03-10 14:20:00,493-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/jumin/koseki/kasousaikohu.html<br>
<strong>[2023-03-10 14:20:00,504-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/jumin/jyumintouroku/gaikokujin.html<br>
<strong>[2023-03-10 14:20:00,530-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/jumin/koseki/20190725.html<br>
<strong>[2023-03-10 14:20:00,543-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/jumin/koseki/kokuseki_sentaku.html<br>
<strong>[2023-03-10 14:20:00,566-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/faq/zei_hoken/kokuminkenkohoken/kanyu_dattai/kokuho_funshitu.html<br>
<strong>[2023-03-10 14:20:00,618-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/faq/zei_hoken/kokuminkenkohoken/kanyu_dattai/kokuho_syugaku.html<br>
<strong>[2023-03-10 14:20:00,628-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/faq/zei_hoken/kokuminkenkohoken/kanyu_dattai/kokuho_kanyubi.html<br>
<strong>[2023-03-10 14:20:00,748-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/faq/zei_hoken/kokuminkenkohoken/kanyu_dattai/kokuho_gaikokujin.html<br>
<strong>[2023-03-10 14:20:00,763-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/jumin/koseki/ohaka.html<br>
<strong>[2023-03-10 14:20:00,769-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/faq/zei_hoken/kokuminkenkohoken/kanyu_dattai/kokuho_syahodatsu.html<br>
<strong>[2023-03-10 14:20:00,774-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/faq/zei_hoken/kokuminkenkohoken/kanyu_dattai/kokuho_shushoku.html<br>
<strong>[2023-03-10 14:20:00,779-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/faq/zei_hoken/kokuminkenkohoken/kyufu/kokuho_70sainoiryohi.html<br>
<strong>[2023-03-10 14:20:00,790-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/faq/zei_hoken/kokuminkenkohoken/kyufu/koutsujiko.html<br>
<strong>[2023-03-10 14:20:00,796-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/faq/zei_hoken/kokuminkenkohoken/kyufu/shokujidai.html<br>
<strong>[2023-03-10 14:20:00,864-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/faq/zei_hoken/kokuminkenkohoken/kyufu/iryouhi.html<br>
<strong>[2023-03-10 14:20:00,871-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/faq/zei_hoken/kokuminkenkohoken/kyufu/shibou.html<br>
<strong>[2023-03-10 14:20:00,877-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/faq/zei_hoken/kokuminkenkohoken/kyufu/kougakuiryohi.html<br>
<strong>[2023-03-10 14:20:00,886-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/faq/zei_hoken/kokuminkenkohoken/kyufu/10wari.html<br>
<strong>[2023-03-10 14:20:00,892-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/faq/zei_hoken/kokuminkenkohoken/kyufu/corset.html<br>
<strong>[2023-03-10 14:20:00,900-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/faq/zei_hoken/kokuminkenkohoken/kyufu/chokusetsu.html<br>
<strong>[2023-03-10 14:20:00,908-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/faq/zei_hoken/kokuminkenkohoken/kyufu/kaigai.html<br>
<strong>[2023-03-10 14:20:01,006-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/faq/zei_hoken/kokuminkenkohoken/kyufu/shussan.html<br>
<strong>[2023-03-10 14:20:01,016-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/faq/zei_hoken/kokuminkenkohoken/hokenzei/tenbiki.html<br>
<strong>[2023-03-10 14:20:01,023-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/faq/zei_hoken/kokuminkenkohoken/kyufu/shobyoteate.html<br>
<strong>[2023-03-10 14:20:01,031-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/faq/zei_hoken/kokuminkenkohoken/kyufu/kokuho_futouritokuQA.html<br>
<strong>[2023-03-10 14:20:01,036-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/faq/zei_hoken/kokuminkenkohoken/hokenzei/osamezu.html<br>
<strong>[2023-03-10 14:20:01,042-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/shisei/toshiseibi/jyuukyohyouji/chiikiichiran.html<br>
<strong>[2023-03-10 14:20:01,055-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/faq/zei_hoken/kokuminkenkohoken/hokenzei/abk100030010201807.html<br>
<strong>[2023-03-10 14:20:01,066-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/faq/zei_hoken/kokuminkenkohoken/hokenzei/zandaka.html<br>
<strong>[2023-03-10 14:20:01,157-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/faq/zei_hoken/kokuminkenkohoken/hokenzei/furikae.html<br>
<strong>[2023-03-10 14:20:01,164-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/faq/zei_hoken/kokuminkenkohoken/hokenzei/genmen.html<br>
<strong>[2023-03-10 14:20:01,173-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/faq/zei_hoken/kokuminkenkohoken/hokenzei/keigen.html<br>
<strong>[2023-03-10 14:20:01,181-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/faq/zei_hoken/kokuminkenkohoken/hokenzei/nendp.html<br>
<strong>[2023-03-10 14:20:01,210-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/faq/zei_hoken/kokuminkenkohoken/hokenzei/zennouwaribiki.html<br>
<strong>[2023-03-10 14:20:01,217-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/faq/zei_hoken/kokuminkenkohoken/hokenzei/kabushiki.html<br>
<strong>[2023-03-10 14:20:01,225-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/faq/zei_hoken/kokuminkenkohoken/hokenzei/kaigo.html<br>
<strong>[2023-03-10 14:20:01,247-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/kokuho/kyufu/daisansyakoui.html<br>
<strong>[2023-03-10 14:20:01,326-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/kokuho/kyufu/sonota.html<br>
<strong>[2023-03-10 14:20:01,370-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/kokuho/kyufu/kokuho_gendotekiyou.html<br>
<strong>[2023-03-10 14:20:01,380-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/kokuho/kyufu/shokuji_ryoyouhi.html<br>
<strong>[2023-03-10 14:20:01,390-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/faq/zei_hoken/kokuminkenkohoken/hokenzei/tennyu.html<br>
<strong>[2023-03-10 14:20:01,399-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/kokuho/kyufu/kogakuryoyohi.html<br>
<strong>[2023-03-10 14:20:01,413-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/faq/zei_hoken/kokuminkenkohoken/hokenzei/kokuho_ZeiNoShisan.html<br>
<strong>[2023-03-10 14:20:01,419-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/kokuho/kyufu/sosaihi.html<br>
<strong>[2023-03-10 14:20:01,461-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/kokuho/kyufu/ryoyouhi.html<br>
<strong>[2023-03-10 14:20:01,534-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/kokuho/kyufu/syoubyouteatekin.html<br>
<strong>[2023-03-10 14:20:01,544-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/faq/zei_hoken/kokuminkenkohoken/hokenzei/nouzeitsuchisho.html<br>
<strong>[2023-03-10 14:20:01,550-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/jumin/koseki/tenseki.html<br>
<strong>[2023-03-10 14:20:01,556-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/jumin/koseki/shibou.html<br>
<strong>[2023-03-10 14:20:01,564-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/faq/zei_hoken/kokuminkenkohoken/hokenzei/noufukakunin.html<br>
<strong>[2023-03-10 14:20:01,569-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/jumin/koseki/okuyami.html<br>
<strong>[2023-03-10 14:20:01,667-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/jumin/koseki/shussei.html<br>
<strong>[2023-03-10 14:20:01,680-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/jumin/jyuki_net/about.html<br>
<strong>[2023-03-10 14:20:01,689-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/jumin/koseki/rikon.html<br>
<strong>[2023-03-10 14:20:01,696-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/jumin/jyuki_net/kouikikoufu.html<br>
<strong>[2023-03-10 14:20:01,701-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/jumin/koseki/mukosekisoudan.html<br>
<strong>[2023-03-10 14:20:01,707-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/jumin/koseki/ouingimuhaishi.html<br>
<strong>[2023-03-10 14:20:01,723-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/jumin/koseki/konin.html<br>
<strong>[2023-03-10 14:20:01,823-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/gomi_shigen/shinshisetsu_seibi/kensetsu.html<br>
<strong>[2023-03-10 14:20:01,832-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/gomi_shigen/shinshisetsu_seibi/selection/index.html<br>
<strong>[2023-03-10 14:20:01,842-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/gomi_shigen/shorishisetsu/31nenndoijikannri.html<br>
<strong>[2023-03-10 14:20:01,859-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/gomi_shigen/shinshisetsu_seibi/uneihoushiki.html<br>
<strong>[2023-03-10 14:20:01,965-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/gomi_shigen/shorishisetsu/abk10005000320220524.html<br>
<strong>[2023-03-10 14:20:01,988-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/gomi_shigen/shinshisetsu_seibi/youboukatudou.html<br>
<strong>[2023-03-10 14:20:02,001-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/gomi_shigen/shorishisetsu/reiwa2nenndosokutei.html<br>
<strong>[2023-03-10 14:20:02,022-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/gomi_shigen/shorishisetsu/reiwa3nenndoijikannr.html<br>
<strong>[2023-03-10 14:20:02,034-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/shisei/shingi_iinkai/kankyo/houkoku.html<br>
<strong>[2023-03-10 14:20:02,040-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/sumai/link/anzen_bohan.html<br>
<strong>[2023-03-10 14:20:02,045-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/shisei/keikauhoushin/kankyou/sinsisetukeikaku.html<br>
<strong>[2023-03-10 14:20:02,050-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/sumai/shinyo_jokasou/koudoshori.html<br>
<strong>[2023-03-10 14:20:02,119-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/sumai/shinyo_jokasou/secchi.html<br>
<strong>[2023-03-10 14:20:02,134-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/sumai/shinyo_jokasou/kumitori.html<br>
<strong>[2023-03-10 14:20:02,145-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/jumin/passport/index.html<br>
<strong>[2023-03-10 14:20:02,149-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/zeikin/tax_consul/index.html<br>
<strong>[2023-03-10 14:20:02,154-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/sumai/shinyo_jokasou/sinyoukouhuri.html<br>
<strong>[2023-03-10 14:20:02,161-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/sumai/shinyo_jokasou/joukasouijikanri.html<br>
<strong>[2023-03-10 14:20:02,169-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/zeikin/shomei/index.html<br>
<strong>[2023-03-10 14:20:02,174-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/zeikin/internetkobai/index.html<br>
<strong>[2023-03-10 14:20:02,287-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/gomi_shigen/shinshisetsu_seibi/selection/hiyotaikoka.html<br>
<strong>[2023-03-10 14:20:02,299-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/zeikin/payment/index.html<br>
<strong>[2023-03-10 14:20:02,306-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/zeikin/declaration/index.html<br>
<strong>[2023-03-10 14:20:02,310-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/gomi_shigen/shinshisetsu_seibi/selection/rakusatsuresult.html<br>
